PROVINCE,SECTOR,YEAR_MONTH,YEAR,TRADE_PARTNER,EXPORT,IMPORT,NET_TRADE
Alberta,Aircraft and other transportation equipment and parts,2014-01-01,2014,United States,35910000.0,88322000.0,-52412000.0
Alberta,Aircraft and other transportation equipment and parts,2014-02-01,2014,United States,31903000.0,47649000.0,-15746000.0
Alberta,Aircraft and other transportation equipment and parts,2014-03-01,2014,United States,26609000.0,23811000.0,2798000.0
Alberta,Aircraft and other transportation equipment and parts,2014-04-01,2014,United States,31558000.0,31813000.0,-255000.0
Alberta,Aircraft and other transportation equipment and parts,2014-05-01,2014,United States,30606000.0,39437000.0,-8831000.0
Alberta,Aircraft and other transportation equipment and parts,2014-06-01,2014,United States,23332000.0,120384000.0,-97052000.0
Alberta,Aircraft and other transportation equipment and parts,2014-07-01,2014,United States,28327000.0,117857000.0,-89530000.0
Alberta,Aircraft and other transportation equipment and parts,2014-08-01,2014,United States,33021000.0,46589000.0,-13568000.0
Alberta,Aircraft and other transportation equipment and parts,2014-09-01,2014,United States,29223000.0,226021000.0,-196798000.0
Alberta,Aircraft and other transportation equipment and parts,2014-10-01,2014,United States,34749000.0,360375000.0,-325626000.0
Alberta,Aircraft and other transportation equipment and parts,2014-11-01,2014,United States,20029000.0,29926000.0,-9897000.0
Alberta,Aircraft and other transportation equipment and parts,2014-12-01,2014,United States,16567000.0,152886000.0,-136319000.0
Alberta,Aircraft and other transportation equipment and parts,2015-01-01,2015,United States,35458000.0,150905000.0,-115447000.0
Alberta,Aircraft and other transportation equipment and parts,2015-02-01,2015,United States,18811000.0,143996000.0,-125185000.0
Alberta,Aircraft and other transportation equipment and parts,2015-03-01,2015,United States,29550000.0,145757000.0,-116207000.0
Alberta,Aircraft and other transportation equipment and parts,2015-04-01,2015,United States,25961000.0,156428000.0,-130467000.0
Alberta,Aircraft and other transportation equipment and parts,2015-05-01,2015,United States,23372000.0,179385000.0,-156013000.0
Alberta,Aircraft and other transportation equipment and parts,2015-06-01,2015,United States,19710000.0,20286000.0,-576000.0
Alberta,Aircraft and other transportation equipment and parts,2015-07-01,2015,United States,20211000.0,131960000.0,-111749000.0
Alberta,Aircraft and other transportation equipment and parts,2015-08-01,2015,United States,26217000.0,23999000.0,2218000.0
Alberta,Aircraft and other transportation equipment and parts,2015-09-01,2015,United States,47881000.0,49025000.0,-1144000.0
Alberta,Aircraft and other transportation equipment and parts,2015-10-01,2015,United States,18418000.0,175289000.0,-156871000.0
Alberta,Aircraft and other transportation equipment and parts,2015-11-01,2015,United States,23366000.0,493687000.0,-470321000.0
Alberta,Aircraft and other transportation equipment and parts,2015-12-01,2015,United States,37441000.0,255829000.0,-218388000.0
Alberta,Aircraft and other transportation equipment and parts,2016-01-01,2016,United States,28984000.0,197014000.0,-168030000.0
Alberta,Aircraft and other transportation equipment and parts,2016-02-01,2016,United States,21953000.0,190329000.0,-168376000.0
Alberta,Aircraft and other transportation equipment and parts,2016-03-01,2016,United States,23381000.0,32598000.0,-9217000.0
Alberta,Aircraft and other transportation equipment and parts,2016-04-01,2016,United States,11007000.0,146544000.0,-135537000.0
Alberta,Aircraft and other transportation equipment and parts,2016-05-01,2016,United States,26803000.0,208446000.0,-181643000.0
Alberta,Aircraft and other transportation equipment and parts,2016-06-01,2016,United States,24197000.0,25038000.0,-841000.0
Alberta,Aircraft and other transportation equipment and parts,2016-07-01,2016,United States,30161000.0,26301000.0,3860000.0
Alberta,Aircraft and other transportation equipment and parts,2016-08-01,2016,United States,25529000.0,26834000.0,-1305000.0
Alberta,Aircraft and other transportation equipment and parts,2016-09-01,2016,United States,30459000.0,28850000.0,1609000.0
Alberta,Aircraft and other transportation equipment and parts,2016-10-01,2016,United States,22282000.0,139476000.0,-117194000.0
Alberta,Aircraft and other transportation equipment and parts,2016-11-01,2016,United States,20615000.0,21056000.0,-441000.0
Alberta,Aircraft and other transportation equipment and parts,2016-12-01,2016,United States,26832000.0,285459000.0,-258627000.0
Alberta,Aircraft and other transportation equipment and parts,2017-01-01,2017,United States,6052000.0,44715000.0,-38663000.0
Alberta,Aircraft and other transportation equipment and parts,2017-02-01,2017,United States,7545000.0,24417000.0,-16872000.0
Alberta,Aircraft and other transportation equipment and parts,2017-03-01,2017,United States,21313000.0,57026000.0,-35713000.0
Alberta,Aircraft and other transportation equipment and parts,2017-04-01,2017,United States,25002000.0,56131000.0,-31129000.0
Alberta,Aircraft and other transportation equipment and parts,2017-05-01,2017,United States,25306000.0,70986000.0,-45680000.0
Alberta,Aircraft and other transportation equipment and parts,2017-06-01,2017,United States,39799000.0,163328000.0,-123529000.0
Alberta,Aircraft and other transportation equipment and parts,2017-07-01,2017,United States,28020000.0,23008000.0,5012000.0
Alberta,Aircraft and other transportation equipment and parts,2017-08-01,2017,United States,19347000.0,35718000.0,-16371000.0
Alberta,Aircraft and other transportation equipment and parts,2017-09-01,2017,United States,24225000.0,164625000.0,-140400000.0
Alberta,Aircraft and other transportation equipment and parts,2017-10-01,2017,United States,31059000.0,326115000.0,-295056000.0
Alberta,Aircraft and other transportation equipment and parts,2017-11-01,2017,United States,21553000.0,525700000.0,-504147000.0
Alberta,Aircraft and other transportation equipment and parts,2017-12-01,2017,United States,23945000.0,23240000.0,705000.0
Alberta,Aircraft and other transportation equipment and parts,2018-01-01,2018,United States,21936000.0,31653000.0,-9717000.0
Alberta,Aircraft and other transportation equipment and parts,2018-02-01,2018,United States,28420000.0,47295000.0,-18875000.0
Alberta,Aircraft and other transportation equipment and parts,2018-03-01,2018,United States,17043000.0,334621000.0,-317578000.0
