TRADE_PARTNER,YEAR_MONTH,YEAR,PROVINCE,SECTOR,EXPORT,IMPORT,NET_TRADE
United States,2014-01-01,2014,Alberta,Aircraft and transportation,35910000.0,88322000.0,-52412000.0
United States,2014-01-01,2014,Alberta,Basic products,604587000.0,581454000.0,23133000.0
United States,2014-01-01,2014,Alberta,Consumer goods,127654000.0,138313000.0,-10659000.0
United States,2014-01-01,2014,Alberta,Electronics related parts,40953000.0,128908000.0,-87955000.0
United States,2014-01-01,2014,Alberta,Energy products,8310578000.0,45265000.0,8265313000.0
United States,2014-01-01,2014,Alberta,Farm and fishing products,181470000.0,66693000.0,114777000.0
United States,2014-01-01,2014,Alberta,Forestry products,162656000.0,88441000.0,74215000.0
United States,2014-01-01,2014,Alberta,Industrial machinery parts,160833000.0,282312000.0,-121479000.0
United States,2014-01-01,2014,Alberta,Metal products,60032000.0,128140000.0,-68108000.0
United States,2014-01-01,2014,Alberta,Metal ores,12217000.0,7381000.0,4836000.0
United States,2014-01-01,2014,Alberta,Motor vehicles and parts,11982000.0,87601000.0,-75619000.0
United States,2014-01-01,2014,Alberta,Special transactions trade,29116000.0,3025000.0,26091000.0
United States,2014-01-01,2014,British Columbia,Aircraft and transportation,17224000.0,46146000.0,-28922000.0
United States,2014-01-01,2014,British Columbia,Basic products,43059000.0,99472000.0,-56413000.0
United States,2014-01-01,2014,British Columbia,Consumer goods,119171000.0,298304000.0,-179133000.0
United States,2014-01-01,2014,British Columbia,Electronics related parts,69917000.0,84126000.0,-14209000.0
United States,2014-01-01,2014,British Columbia,Energy products,383630000.0,274278000.0,109352000.0
United States,2014-01-01,2014,British Columbia,Farm and fishing products,59555000.0,147355000.0,-87800000.0
United States,2014-01-01,2014,British Columbia,Forestry products,430238000.0,171425000.0,258813000.0
United States,2014-01-01,2014,British Columbia,Industrial machinery parts,88585000.0,163023000.0,-74438000.0
United States,2014-01-01,2014,British Columbia,Metal products,115484000.0,108629000.0,6855000.0
United States,2014-01-01,2014,British Columbia,Metal ores,18189000.0,11532000.0,6657000.0
United States,2014-01-01,2014,British Columbia,Motor vehicles and parts,23754000.0,130912000.0,-107158000.0
United States,2014-01-01,2014,British Columbia,Special transactions trade,21142000.0,8946000.0,12196000.0
United States,2014-01-01,2014,Manitoba,Aircraft and transportation,33895000.0,49709000.0,-15814000.0
United States,2014-01-01,2014,Manitoba,Basic products,51559000.0,178150000.0,-126591000.0
United States,2014-01-01,2014,Manitoba,Consumer goods,83354000.0,141450000.0,-58096000.0
United States,2014-01-01,2014,Manitoba,Electronics related parts,16921000.0,93726000.0,-76805000.0
United States,2014-01-01,2014,Manitoba,Energy products,141829000.0,53012000.0,88817000.0
United States,2014-01-01,2014,Manitoba,Farm and fishing products,166651000.0,47230000.0,119421000.0
United States,2014-01-01,2014,Manitoba,Forestry products,26077000.0,73453000.0,-47376000.0
United States,2014-01-01,2014,Manitoba,Industrial machinery parts,81154000.0,298788000.0,-217634000.0
United States,2014-01-01,2014,Manitoba,Metal products,41559000.0,94031000.0,-52472000.0
United States,2014-01-01,2014,Manitoba,Metal ores,3183000.0,10548000.0,-7365000.0
United States,2014-01-01,2014,Manitoba,Motor vehicles and parts,44391000.0,116554000.0,-72163000.0
United States,2014-01-01,2014,Manitoba,Special transactions trade,20920000.0,3031000.0,17889000.0
United States,2014-01-01,2014,New Brunswick,Aircraft and transportation,1594000.0,3357000.0,-1763000.0
United States,2014-01-01,2014,New Brunswick,Basic products,463648000.0,42423000.0,421225000.0
United States,2014-01-01,2014,New Brunswick,Consumer goods,46104000.0,27567000.0,18537000.0
United States,2014-01-01,2014,New Brunswick,Electronics related parts,2208000.0,6975000.0,-4767000.0
United States,2014-01-01,2014,New Brunswick,Energy products,488824000.0,372331000.0,116493000.0
United States,2014-01-01,2014,New Brunswick,Farm and fishing products,43203000.0,12369000.0,30834000.0
United States,2014-01-01,2014,New Brunswick,Forestry products,111301000.0,28766000.0,82535000.0
United States,2014-01-01,2014,New Brunswick,Industrial machinery parts,4244000.0,19080000.0,-14836000.0
United States,2014-01-01,2014,New Brunswick,Metal products,15549000.0,12814000.0,2735000.0
United States,2014-01-01,2014,New Brunswick,Metal ores,2679000.0,1620000.0,1059000.0
